series_type,date,ron95,ron97,diesel,diesel_eastmsia
change_weekly,2017/11/9,0.06999999999999984,0.06000000000000005,0.03000000000000025,0.03000000000000025
change_weekly,2017/11/16,0.06999999999999984,0.06000000000000005,0.04999999999999982,0.04999999999999982
change_weekly,2017/11/23,-0.08,-0.08,-0.02,-0.02
change_weekly,2017/11/30,0,0,0.020000000000000018,0.020000000000000018
change_weekly,2017/12/7,-0.01,-0.01,-0.04,-0.04
change_weekly,2017/12/14,-0.04,-0.05,-0.01,-0.01
change_weekly,2017/12/21,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.029999999999999805
change_weekly,2017/12/28,-0.01,-0.01,0.029999999999999805,0.029999999999999805
change_weekly,2018/1/4,0.03000000000000025,0.03000000000000025,0.06000000000000005,0.06000000000000005
change_weekly,2018/1/11,-0.03,-0.03,0,0
change_weekly,2018/1/18,0.040000000000000036,0.040000000000000036,0,0
change_weekly,2018/1/25,-0.01,-0.01,-0.01,-0.01
change_weekly,2018/2/1,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.029999999999999805
change_weekly,2018/2/8,0.020000000000000018,0.029999999999999805,-0.03,-0.03
change_weekly,2018/2/15,-0.1,-0.11,-0.12,-0.12
change_weekly,2018/2/22,-0.06,-0.07,-0.06,-0.06
change_weekly,2018/3/1,0.03000000000000025,0.040000000000000036,0.050000000000000266,0.050000000000000266
change_weekly,2018/3/8,0.009999999999999787,0,-0.01,-0.01
change_weekly,2018/3/15,-0.03,-0.02,-0.01,-0.01
change_weekly,2018/3/22,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
change_weekly,2018/3/29,0,0,0,0
change_weekly,2018/4/5,0,0,0,0
change_weekly,2018/4/12,0,0,0,0
change_weekly,2018/4/19,0,0,0,0
change_weekly,2018/4/26,0,0,0,0
change_weekly,2018/5/3,0,0,0,0
change_weekly,2018/5/10,0,0,0,0
change_weekly,2018/6/7,0,0.18999999999999995,0,0
change_weekly,2018/6/14,0,-0.06,0,0
change_weekly,2018/6/21,0,-0.01,0,0
change_weekly,2018/6/28,0,-0.09,0,0
change_weekly,2018/7/5,0,0.08000000000000007,0,0
change_weekly,2018/7/12,0,0.009999999999999787,0,0
change_weekly,2018/7/19,0,-0.03,0,0
change_weekly,2018/7/26,0,-0.02,0,0
change_weekly,2018/8/2,0,0.10000000000000009,0,0
change_weekly,2018/8/9,0,-0.03,0,0
change_weekly,2018/8/16,0,0.040000000000000036,0,0
change_weekly,2018/8/23,0,0,0,0
change_weekly,2018/8/30,0,0.040000000000000036,0,0
change_weekly,2018/10/1,0,0.10000000000000009,0,0
change_weekly,2018/11/1,0,0.020000000000000018,0,0
change_weekly,2018/12/1,0,-0.31,0,0
change_weekly,2019/1/1,0,0,0,0
change_weekly,2019/1/5,-0.27,-0.27,-0.14,-0.14
change_weekly,2019/1/12,-0.01,-0.01,0.009999999999999787,0.009999999999999787
change_weekly,2019/1/19,0.06000000000000005,0.05999999999999961,0.1200000000000001,0.1200000000000001
change_weekly,2019/1/26,0,0,0.010000000000000231,0.010000000000000231
change_weekly,2019/2/2,-0.05,-0.05,0,0
change_weekly,2019/2/9,0.040000000000000036,0.040000000000000036,0,0
change_weekly,2019/2/16,0.010000000000000009,0.009999999999999787,0,0
change_weekly,2019/2/23,0.10000000000000009,0.10000000000000009,0,0
change_weekly,2019/3/2,0,0.050000000000000266,0,0
change_weekly,2019/3/9,0,0.029999999999999805,0,0
change_weekly,2019/3/16,0,0.08000000000000007,0,0
change_weekly,2019/3/23,0,0.06999999999999984,0,0
change_weekly,2019/3/30,0,0.020000000000000018,0,0
change_weekly,2019/4/6,0,0,0,0
change_weekly,2019/4/13,0,0.050000000000000266,0,0
change_weekly,2019/4/20,0,0.11999999999999966,0,0
change_weekly,2019/4/27,0,0.010000000000000231,0,0
change_weekly,2019/5/4,0,-0.01,0,0
change_weekly,2019/5/11,0,-0.1,0,0
change_weekly,2019/5/18,0,-0.02,0,0
change_weekly,2019/5/25,0,0.07999999999999963,0,0
